Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
a,"seu, sua, dele, dela",,,Rudolph (1909)
ã kruk atak,chocar,,,Rudolph (1909)
ãã,galinha,,,Rudolph (1909)
ãã inku,"ovo, ovo de galinha",,,Rudolph (1909)
ãã jopu,"galinha, galinha fêmea",,,Rudolph (1909)
ãã vaha,"galo, galinha",,,Rudolph (1909)
agnan,tabaco,,,Rudolph (1909)
agnan tohom,fumar,,,Rudolph (1909)
ahek,"chupar, mamárias",,,Rudolph (1909)
ahep,sentar,,,Rudolph (1909)
ahim pakuimum,ir rio acima,,,Rudolph (1909)
ahom,"terminou, gasto",,,Rudolph (1909)
ahom minjan raté,"margem, costa",,,Rudolph (1909)
ahut,"subir, puxar, apanhar, levantar-se",,,Rudolph (1909)
ajub ma mumni,"fatigar, cansar",,,Rudolph (1909)
ak,fechar,,,Rudolph (1909)
akan,"ver, olhar",,,Rudolph (1909)
akek,pico,,,Rudolph (1909)
akmum,sair depressa,,,Rudolph (1909)
akmummen nuk,ficar acordado,,,Rudolph (1909)
akomjak,sangue,,,Rudolph (1909)
akran,"raiva, fúria, ira, cólera",,,Rudolph (1909)
akre,aonde,,,Rudolph (1909)
akrõn,paca,,,Rudolph (1909)
aku,soprar,,,Rudolph (1909)
akukijun,"nevoeiro, névoa, neblina",,,Rudolph (1909)
akurin,"insultar, injuriar",,,Rudolph (1909)
am,"dar, ser, existir, floresta, ilha",,,Rudolph (1909)
am a,"floresta jovem, matagal",,,Rudolph (1909)
am et,estrela,,,Rudolph (1909)
am jupakischu,selva,,,Rudolph (1909)
am mek mek,"perto, próximo, ao pé",,,Rudolph (1909)
am nakatscha,"floresta jovem, matagal",,,Rudolph (1909)
am nangran ahom,vingar-se,,,Rudolph (1909)
am pim pim,de manhã cedo,,,Rudolph (1909)
ama an,abrir,,,Rudolph (1909)
amak,"atirar, disparar, balear",,,Rudolph (1909)
amak kitom kan,"apontar, ter em mira",,,Rudolph (1909)
amakren,"floresta jovem, matagal, cortar, derrubar",,,Rudolph (1909)
amali,varrer,,,Rudolph (1909)
amankut,comer,,,Rudolph (1909)
amantik,arrancar,,,Rudolph (1909)
amapok,"fecho, tampa, rolha",,,Rudolph (1909)
amaprim,"cortar, cortar matagal",,,Rudolph (1909)
ambruk,"chama, brasa, queimar, arder",,,Rudolph (1909)
ambruk pe en,"acender, incendiar",,,Rudolph (1909)
ambrukuku,vermelho,,,Rudolph (1909)
amburu,"vento, frio",,,Rudolph (1909)
ame,"matar, esvaziar de sangue",,,Rudolph (1909)
amenuk,vazio,,,Rudolph (1909)
amere e,satisfeito,,,Rudolph (1909)
amere em,deixar-me em paz,,,Rudolph (1909)
amerek,"abraçar, cercar, beliscar",,,Rudolph (1909)
amhimakáki,flor,,,Rudolph (1909)
amia káki,flor,,,Rudolph (1909)
amiapram,"conversar, falar, perguntar",,,Rudolph (1909)
amihim,esquerda,,,Rudolph (1909)
amijaji,"memória, sabe, eu sei",,,Rudolph (1909)
amijan,areia,,,Rudolph (1909)
amin,depressa,,,Rudolph (1909)
amion,pulmão,,,Rudolph (1909)
amjokon,"sempre, atual",,,Rudolph (1909)
amjukon,muito tempo depois,,,Rudolph (1909)
amjunji,pontas do ramo,,,Rudolph (1909)
amkma,"vale, abertura",,,Rudolph (1909)
amkro,"buraco na floresta, vale da floresta profunda",,,Rudolph (1909)
amkruk mim,floresta jovem,,,Rudolph (1909)
amnikáki,flor,,,Rudolph (1909)
amnjok,endurecer,,,Rudolph (1909)
amohim,"valente, corajoso",,,Rudolph (1909)
amohom,"valente, corajoso, empreendedor",,,Rudolph (1909)
amon pakischu,"inhame, cará-inhame",,,Rudolph (1909)
amoron,"distante, longe",,,Rudolph (1909)
amótte,luz,,,Rudolph (1909)
ampak,"urubu, abutre",,,Rudolph (1909)
ampak kui,ir rio acima,,,Rudolph (1909)
ampak pakischu,urubu rei,,,Rudolph (1909)
ampian nan,falta algo,,,Rudolph (1909)
ampijun,dia,,,Rudolph (1909)
ampim,"escuro, noite",,,Rudolph (1909)
ampim,"partir, rachar, arrebentar",,,Rudolph (1909)
ampim ni,cedo,,,Rudolph (1909)
ampim taru teitu,escuro,,,Rudolph (1909)
ampip,agora,,,Rudolph (1909)
ampip anguin,"igual, igualdade",,,Rudolph (1909)
ampmeranti,vem aqui,,,Rudolph (1909)
ampok,raiz,,,Rudolph (1909)
ampok,"cortado, matar, abater",,,Rudolph (1909)
ampon,"pouco, fácil, pouco tempo",,,Rudolph (1909)
ampram,abrir,,,Rudolph (1909)
ampromum,ir embora,,,Rudolph (1909)
ampschak,sombra,,,Rudolph (1909)
amra,"ser, estar, existir",,,Rudolph (1909)
amra,"lá, ali",,,Rudolph (1909)
amron,"longe, distante",,,Rudolph (1909)
amrun,"longe, distante",,,Rudolph (1909)
amtap,"orvalho, molhado, encharcado",,,Rudolph (1909)
amtjore him,"atrasar, ficar para trás",,,Rudolph (1909)
amtschon,dia,,,Rudolph (1909)
amtschora,"atrasar, ficar para trás",,,Rudolph (1909)
amtschore,"atrasar, ficar para trás",,,Rudolph (1909)
amtschum,amanhecer,,,Rudolph (1909)
amum anti,"em frente, a direito",,,Rudolph (1909)
amum him,que sabe andar depressa,,,Rudolph (1909)
an,"ser, estar, existir",,,Rudolph (1909)
an nangran ahom,vingar-se,,,Rudolph (1909)
anajan,"inchar, aumentar o volume",,,Rudolph (1909)
ane,não,,,Rudolph (1909)
anen,"não, saudade, ansiedade",,,Rudolph (1909)
anet,estrela,,,Rudolph (1909)
angianjan,cego,,,Rudolph (1909)
anginan taho,fumar,,,Rudolph (1909)
anglin,"atirar, bater",,,Rudolph (1909)
angnan,tabaco,,,Rudolph (1909)
angnok,escuro,,,Rudolph (1909)
angoe akan,"tenha cuidado, cuide-se, abra os olhos",,,Rudolph (1909)
angoe ou angwe,abrir,,,Rudolph (1909)
angori,aranha,,,Rudolph (1909)
angotschina,"constipação, resfriado",,,Rudolph (1909)
angrak,agudo,,,Rudolph (1909)
angran,"ser, estar, existir",,,Rudolph (1909)
angrin,"atirar, bater, cortar com o machado, atirar, disparar",,,Rudolph (1909)
angrin hip mum,cantar e dançar,,,Rudolph (1909)
angrintscha,cantar,,,Rudolph (1909)
angritscha,cantar,,,Rudolph (1909)
angro po wip,"embaixo, por baixo, debaixo",,,Rudolph (1909)
angroru,"arquivar, ganir",,,Rudolph (1909)
angru,"empalidecer, perder a cor",,,Rudolph (1909)
angrupu,"por baixo, embaixo, debaixo",,,Rudolph (1909)
anguin,"nada, ele não tem nada, ele não está aqui, ninguém",,,Rudolph (1909)
anguin nangnan,não temos nada,,,Rudolph (1909)
anhuit,"muito, grande",,,Rudolph (1909)
anianjan,nascer cego,,,Rudolph (1909)
anin,"depressa, igual",,,Rudolph (1909)
anit,lágrima,,,Rudolph (1909)
anjak man,pálpebras,,,Rudolph (1909)
anjap mra um,"silencioso, baixo",,,Rudolph (1909)
anjek,"fechar, encerrar",,,Rudolph (1909)
ankan,agora,,,Rudolph (1909)
anketõn,algodão,,,Rudolph (1909)
anketõn antik,desfiar algodão,,,Rudolph (1909)
anketot,"cozer, cozinhar",,,Rudolph (1909)
anketot wot,"ferver, cozer, cozinhar",,,Rudolph (1909)
anknan,piolho,,,Rudolph (1909)
ankoēm,"imaturo, verde",,,Rudolph (1909)
ankok kukijun,"nevoeiro, névoa, neblina",,,Rudolph (1909)
ankom,"ao pé, próximo, perto",,"(an, k corresponde ao superlativo, on, .. um)",Rudolph (1909)
ankomnja em,"ao pé, próximo, perto",,,Rudolph (1909)
ankorit,aranha,,,Rudolph (1909)
ankorit pakischu,tarântula,,,Rudolph (1909)
ankoschina,"catarro, tosse",,,Rudolph (1909)
ankropan,"embaixo, por baixo, debaixo",,,Rudolph (1909)
ankropan,"embaixo, por lado, debaixo",,,Rudolph (1909)
ankujin anglin,"cuspir, escarrar",,,Rudolph (1909)
ankupa,"largo, amplo, vasto",,,Rudolph (1909)
ankupe jipakischu,grávida,,,Rudolph (1909)
ankuschep ati kitschin pen,"assoar, eu espremi o nariz",,,Rudolph (1909)
ankut,"engolir, devorar, comer, comestível, tartaruga",,,Rudolph (1909)
ankutschuma,tatu,,,Rudolph (1909)
ankuwok,macuco,,,Rudolph (1909)
ankuwok inku,"azul, ovo do macuco",,,Rudolph (1909)
ankuwok kuschi,zabelê,,,Rudolph (1909)
anontschon,ananás,,,Rudolph (1909)
anpapajan,mamão,,,Rudolph (1909)
anschorot,"puxar, tirar, afiar",,,Rudolph (1909)
antekanham,dançar,,,Rudolph (1909)
anti,"vós, vocês, vosso, vossa",,,Rudolph (1909)
antiji,fugir,,,Rudolph (1909)
antijuknan,"marido, esposo",,o seu pênis vos faz conceber,Rudolph (1909)
antik,arrancar,,,Rudolph (1909)
antiwok,"para trás, por detrás",,,Rudolph (1909)
antji,comer,,,Rudolph (1909)
antjore ni,"atrás, para trás",,,Rudolph (1909)
antjuk,"meu, seu, nosso",,indicativo de posse,Rudolph (1909)
